,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Precious Achiuwa,PF,21,MIA,35,2,14.0,2.4,4.1,.579,0.0,0.0,,2.4,4.1,.579,.579,1.3,2.3,.543,1.3,2.7,4.0,0.6,0.4,0.5,0.9,1.7,6.1
1,Jaylen Adams,PG,24,MIL,7,0,2.6,0.1,1.1,.125,0.0,0.3,.000,0.1,0.9,.167,.125,0.0,0.0,,0.0,0.4,0.4,0.3,0.0,0.0,0.0,0.1,0.3
2,Steven Adams,C,27,NOP,33,33,27.8,3.5,5.7,.615,0.0,0.0,.000,3.5,5.6,.618,.615,1.1,2.4,.443,4.0,4.9,8.9,2.1,0.9,0.6,1.5,1.9,8.0
3,Bam Adebayo,C,23,MIA,33,33,33.9,7.2,12.7,.563,0.1,0.2,.333,7.1,12.5,.567,.566,4.8,5.7,.847,2.2,7.3,9.5,5.4,0.9,1.0,3.0,2.4,19.2
4,LaMarcus Aldridge,C,35,SAS,21,18,25.9,5.5,11.8,.464,1.3,3.6,.360,4.2,8.2,.509,.518,1.5,1.8,.838,0.8,3.7,4.5,1.7,0.4,0.9,1.0,1.7,13.7
5,Ty-Shon Alexander,SG,22,PHO,3,0,2.7,0.0,1.0,.000,0.0,0.3,.000,0.0,0.7,.000,.000,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,0.0
6,Nickeil Alexander-Walker,SG,22,NOP,28,3,17.7,3.1,7.5,.408,1.1,3.5,.306,2.0,4.0,.496,.479,1.0,1.3,.800,0.2,2.2,2.4,1.9,1.0,0.3,1.1,1.6,8.2
7,Grayson Allen,SG,25,MEM,23,12,24.0,2.9,7.1,.409,2.0,4.9,.407,0.9,2.2,.412,.549,1.5,1.7,.895,0.3,2.5,2.8,2.2,1.0,0.1,0.9,1.3,9.3
8,Jarrett Allen,C,22,TOT,35,17,27.9,4.9,7.3,.669,0.1,0.2,.500,4.8,7.1,.675,.677,3.5,4.7,.741,3.2,6.7,9.9,1.7,0.5,1.7,1.5,1.6,13.5
9,Jarrett Allen,C,22,BRK,12,5,26.7,3.7,5.4,.677,0.0,0.0,,3.7,5.4,.677,.677,3.8,5.1,.754,3.2,7.3,10.4,1.7,0.6,1.6,1.8,1.8,11.2
10,Jarrett Allen,C,22,CLE,23,12,28.6,5.6,8.3,.667,0.2,0.3,.500,5.4,8.0,.674,.677,3.3,4.6,.733,3.2,6.4,9.6,1.7,0.4,1.7,1.4,1.5,14.7
11,Al-Farouq Aminu,PF,30,ORL,9,6,18.1,1.9,4.8,.395,0.7,1.7,.400,1.2,3.1,.393,.465,0.8,1.0,.778,1.0,3.1,4.1,1.7,0.9,0.6,1.1,1.0,5.2
12,Kyle Anderson,PF,27,MEM,30,30,27.6,4.9,10.2,.477,1.5,4.0,.380,3.3,6.2,.541,.552,2.1,2.8,.762,0.9,5.2,6.1,3.5,1.2,0.7,1.5,1.8,13.4
13,Giannis Antetokounmpo,PF,26,MIL,35,35,34.0,10.5,18.9,.557,1.1,3.9,.285,9.4,15.0,.628,.586,6.9,10.4,.661,1.8,9.8,11.7,5.9,1.3,1.4,3.7,3.0,29.0
14,Kostas Antetokounmpo,PF,23,LAL,3,0,6.3,0.3,1.0,.333,0.0,0.0,,0.3,1.0,.333,.333,0.3,0.7,.500,0.7,2.0,2.7,0.0,0.3,0.7,1.7,1.0,1.0
15,Thanasis Antetokounmpo,SF,28,MIL,26,0,8.7,1.0,1.7,.605,0.1,0.3,.222,0.9,1.3,.706,.628,0.2,0.5,.462,1.0,1.1,2.1,0.7,0.3,0.2,0.7,1.3,2.3
16,Carmelo Anthony,PF,36,POR,34,3,25.6,4.9,11.8,.413,1.8,4.6,.387,3.1,7.3,.429,.488,2.4,2.8,.842,0.6,2.8,3.3,1.5,0.9,0.8,1.0,2.1,13.9
17,Cole Anthony,PG,20,ORL,25,17,26.7,4.0,10.8,.375,1.1,3.3,.325,3.0,7.4,.398,.426,1.8,2.2,.836,0.8,3.6,4.4,3.8,0.7,0.4,2.0,2.0,11.0
18,OG Anunoby,SF,23,TOR,23,23,33.4,5.0,10.3,.479,2.1,5.4,.395,2.8,5.0,.570,.582,1.7,2.3,.755,1.4,4.3,5.7,1.7,1.6,0.7,1.7,2.8,13.8
19,Ryan Arcidiacono,PG,26,CHI,18,0,11.0,1.2,2.8,.420,0.6,1.8,.344,0.6,1.0,.556,.530,0.4,0.5,.889,0.1,1.7,1.8,1.3,0.3,0.0,0.2,0.9,3.4
20,D.J. Augustin,PG,33,MIL,34,6,19.5,1.9,5.4,.350,1.3,3.6,.366,0.6,1.8,.317,.473,1.0,1.1,.897,0.3,1.0,1.4,3.0,0.6,0.0,0.9,0.8,6.1
21,Deni Avdija,SF,20,WAS,30,16,21.5,2.3,5.2,.433,1.0,2.9,.356,1.2,2.3,.529,.532,0.4,0.6,.579,0.4,4.2,4.7,1.3,0.7,0.2,0.8,2.5,5.9
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Deandre Ayton,C,22,PHO,35,35,31.1,6.2,10.5,.594,0.1,0.5,.235,6.1,10.0,.611,.599,1.9,2.5,.750,3.4,8.1,11.4,1.7,0.3,1.1,1.7,3.1,14.5
24,Udoka Azubuike,C,21,UTA,12,0,4.1,0.3,0.6,.571,0.0,0.0,,0.3,0.6,.571,.571,0.3,0.5,.667,0.3,0.8,1.1,0.0,0.1,0.3,0.3,0.7,1.0
25,Dwayne Bacon,SG,25,ORL,36,23,24.6,3.8,9.1,.413,0.9,2.8,.333,2.8,6.3,.449,.465,1.6,1.9,.826,0.3,2.5,2.9,1.0,0.6,0.1,0.7,1.6,10.1
26,Marvin Bagley III,PF,21,SAC,34,34,26.1,5.7,11.5,.500,1.0,2.7,.370,4.7,8.8,.540,.544,1.6,3.0,.529,2.4,5.1,7.6,1.0,0.5,0.5,1.4,2.4,14.1
27,LaMelo Ball,PG,19,CHO,35,15,28.9,5.7,12.8,.449,2.0,5.3,.378,3.7,7.5,.498,.527,2.3,2.9,.802,1.5,4.6,6.0,6.3,1.6,0.4,2.8,2.7,15.8
28,Lonzo Ball,PG,23,NOP,33,33,31.8,5.3,12.4,.428,3.0,7.8,.387,2.3,4.6,.497,.549,0.9,1.2,.775,0.6,3.5,4.2,5.1,1.3,0.5,2.0,2.2,14.5
29,Mo Bamba,C,22,ORL,17,0,9.5,2.1,3.9,.522,0.4,1.1,.368,1.6,2.8,.583,.575,0.2,0.4,.667,1.1,2.7,3.8,0.2,0.2,0.8,0.4,1.2,4.8
30,Desmond Bane,SG,22,MEM,28,6,22.8,3.6,7.5,.478,1.7,3.8,.443,1.9,3.7,.515,.591,0.8,0.9,.875,0.4,2.4,2.9,1.4,0.7,0.1,1.0,1.9,9.6
31,Harrison Barnes,PF,28,SAC,33,33,35.7,5.6,11.3,.492,1.7,4.3,.392,3.9,7.0,.554,.567,3.9,4.7,.826,1.0,5.1,6.1,3.6,0.8,0.2,1.4,1.3,16.7
32,RJ Barrett,SG,20,NYK,37,37,33.2,6.3,14.2,.443,1.2,3.3,.350,5.1,10.9,.471,.484,2.8,3.8,.730,1.2,4.8,6.0,2.9,0.6,0.2,1.9,2.6,16.5
33,Will Barton,SF,30,DEN,33,29,29.9,4.5,10.2,.442,1.5,3.9,.388,3.0,6.2,.476,.516,1.1,1.5,.755,0.6,3.5,4.1,3.1,0.8,0.4,1.7,1.6,11.6
34,Keita Bates-Diop,SF,25,SAS,13,0,8.2,0.8,2.4,.355,0.4,1.1,.357,0.5,1.3,.353,.435,0.5,0.6,.875,0.4,1.1,1.5,0.5,0.5,0.1,0.1,0.4,2.6
35,Nicolas Batum,SF,32,LAC,35,35,29.5,3.1,6.5,.472,1.9,4.4,.439,1.1,2.1,.541,.620,0.9,1.0,.833,0.9,3.9,4.8,2.4,1.2,0.4,0.7,1.7,9.0
36,Aron Baynes,C,34,TOR,33,26,19.7,2.7,6.1,.440,0.5,2.1,.243,2.2,3.9,.546,.483,0.5,0.6,.750,1.6,3.8,5.4,1.1,0.3,0.3,0.9,2.4,6.3
37,Kent Bazemore,SF,31,GSW,35,1,16.8,2.4,5.0,.480,1.1,2.5,.438,1.3,2.5,.523,.591,0.7,0.9,.750,0.4,2.6,3.0,1.6,0.9,0.5,1.1,2.2,6.6
38,Darius Bazley,PF,20,OKC,36,36,30.7,4.4,11.2,.392,1.5,5.2,.290,2.9,6.0,.479,.459,1.6,2.3,.704,0.6,6.9,7.5,1.5,0.5,0.6,1.8,0.9,11.9
39,Bradley Beal,SG,27,WAS,32,32,35.7,11.5,23.9,.482,2.3,6.9,.335,9.2,17.0,.541,.530,7.6,8.4,.903,1.3,4.1,5.4,4.7,1.4,0.4,3.3,2.6,32.9
40,Malik Beasley,SG,24,MIN,33,32,33.1,7.6,16.7,.455,3.5,8.7,.406,4.1,8.0,.508,.560,1.8,2.2,.847,0.8,3.8,4.6,2.5,0.8,0.2,1.6,1.6,20.5
41,Jordan Bell,C,26,WAS,3,1,16.7,1.7,5.0,.333,0.0,0.7,.000,1.7,4.3,.385,.333,0.0,0.0,,1.7,3.7,5.3,1.7,0.3,1.0,1.0,1.3,3.3
42,DeAndre' Bembry,SF,26,TOR,27,5,16.4,1.8,3.2,.570,0.3,0.8,.364,1.5,2.4,.641,.616,0.5,0.7,.700,0.4,1.6,2.0,2.0,0.6,0.3,1.0,1.6,4.4
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Dāvis Bertāns,PF,28,WAS,30,3,26.1,3.3,8.6,.388,2.9,7.6,.384,0.4,1.0,.414,.558,1.9,2.3,.853,0.5,2.7,3.1,0.9,0.6,0.2,0.6,2.5,11.5
45,Patrick Beverley,PG,32,LAC,28,28,24.2,2.8,6.3,.446,1.8,4.1,.422,1.1,2.2,.492,.585,1.1,1.4,.795,1.0,2.9,3.8,2.1,0.9,0.8,1.0,3.2,8.5
46,Saddiq Bey,SF,21,DET,34,17,22.9,3.2,7.8,.409,2.1,5.4,.393,1.1,2.4,.444,.545,1.4,1.6,.857,0.5,3.4,3.9,1.1,0.6,0.0,0.7,1.6,9.9
47,Tyler Bey,SF,22,DAL,4,0,3.3,0.5,1.3,.400,0.0,0.0,,0.5,1.3,.400,.400,0.5,1.0,.500,0.5,0.3,0.8,0.0,0.0,0.3,0.0,0.5,1.5
48,Khem Birch,C,28,ORL,35,1,20.1,2.2,4.4,.497,0.1,0.4,.308,2.1,4.0,.514,.510,1.5,2.0,.739,2.6,2.8,5.3,1.1,0.6,0.7,0.5,1.5,5.9
49,Goga Bitadze,C,21,IND,16,0,9.3,1.5,2.9,.511,0.1,0.9,.133,1.4,2.0,.688,.532,0.6,0.8,.769,0.7,1.3,2.0,0.3,0.2,0.9,0.5,1.6,3.8
50,Bismack Biyombo,C,28,CHO,33,19,22.3,2.4,4.2,.569,0.0,0.0,.000,2.4,4.1,.574,.569,0.9,1.8,.483,2.2,3.4,5.6,1.5,0.3,1.2,0.9,2.5,5.6
51,Nemanja Bjelica,PF,32,SAC,19,1,18.0,3.1,6.3,.483,0.8,2.4,.333,2.3,3.9,.573,.546,1.6,2.0,.789,1.1,3.2,4.2,2.2,0.3,0.1,1.3,1.9,8.5
52,Eric Bledsoe,SG,31,NOP,35,34,29.7,4.5,10.4,.435,2.0,5.1,.385,2.5,5.3,.484,.530,1.6,2.3,.679,0.5,3.1,3.5,3.8,0.8,0.3,1.6,1.5,12.6
53,Keljin Blevins,SF,25,POR,9,0,5.2,0.2,1.2,.182,0.0,0.4,.000,0.2,0.8,.286,.182,0.0,0.0,,0.0,0.2,0.2,0.4,0.2,0.0,0.3,0.4,0.4
54,Bogdan Bogdanović,SG,28,ATL,11,2,22.6,3.2,8.3,.385,2.1,6.1,.343,1.1,2.2,.500,.511,0.9,1.0,.909,0.2,3.3,3.5,2.2,0.4,0.2,1.2,1.9,9.4
55,Bojan Bogdanović,SF,31,UTA,36,36,30.6,5.2,12.1,.432,2.7,6.7,.405,2.5,5.4,.466,.545,2.6,3.0,.852,0.5,3.4,3.9,1.9,0.5,0.1,1.4,1.6,15.7
56,Bol Bol,PF,21,DEN,15,2,5.6,0.7,1.5,.500,0.3,0.7,.500,0.4,0.8,.500,.614,0.1,0.1,.500,0.0,0.7,0.7,0.3,0.1,0.3,0.5,0.6,1.9
57,Marques Bolden,C,22,CLE,6,0,4.8,0.2,0.5,.333,0.0,0.0,,0.2,0.5,.333,.333,0.8,1.3,.625,0.5,0.5,1.0,0.0,0.3,0.3,0.3,0.0,1.2
58,Jordan Bone,PG,23,ORL,14,0,14.0,1.6,3.9,.426,0.7,2.3,.313,0.9,1.6,.591,.519,0.0,0.0,,0.3,1.4,1.7,1.3,0.1,0.0,0.2,0.8,4.0
